subject_ID,subject_index,exclude_Ixr,condition,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
5debed6b3820732ef2af3c55,26.0,0.0,slow,0.5194389411094491,0.1974520972925313,0.12727114327556024,0.28448155605996023,0.9972591869804519,0.6428005506622629,1.4368135319777176,full
5e2f121d76887c011b5ec6c4,27.0,0.0,fast,0.31510892336690943,0.12095079694120904,0.06601585158354792,0.19389172105301467,0.9350657182320405,0.5103658779997533,1.4989690518021923,full
5e2f121d76887c011b5ec6c4,27.0,0.0,slow,0.436108175667411,0.1764776246783926,0.10778853267704472,0.26234132592188336,1.0281545090575406,0.6279734674498283,1.5283944219572378,full
66c81c164802520c1ad42e7a,28.0,0.0,fast,0.36483395166584615,0.1270647527996603,0.0704887147396083,0.20170840749167476,0.8627820867690942,0.47862526040245235,1.369619795419798,equal-weights
66c81c164802520c1ad42e7a,28.0,0.0,slow,0.4885597864633546,0.14265911954192248,0.08167095978443657,0.22009581891824442,0.7567781559688919,0.43324814102552067,1.1675643906414617,equal-weights
5dd9f0e719eecb97dfab7b48,29.0,0.0,fast,0.38325476858758456,0.18183363840178243,0.11341259702757664,0.265872653633298,1.1828351660538092,0.7377535268875332,1.729512356314519,full
5dd9f0e719eecb97dfab7b48,29.0,0.0,slow,0.6030799006876879,0.20986366034995035,0.13727262616071992,0.2971835158169711,0.9457411410220913,0.6186129122109775,1.3392441400909048,full
673f5caf2dc042d5aac332e5,30.0,0.0,fast,0.38470366517649357,0.21677985795217197,0.14346005170380352,0.3050734162656396,1.4055617390309076,0.9301692586160388,1.9780413436429052,full
673f5caf2dc042d5aac332e5,30.0,0.0,slow,0.6645995292835363,0.21665887192515637,0.14209541700916806,0.309397154052879,0.9113444304175401,0.5977039653557203,1.3014346960623566,equal-weights
67220499981821552c14d06d,31.0,0.0,fast,0.18406520116839753,0.06569320511057325,0.025545418282855642,0.12348962295532386,0.8351349254586141,0.32475004009247377,1.5698807340594805,equal-weights
67220499981821552c14d06d,31.0,0.0,slow,0.10232510597183454,0.025051098073818206,0.003220979000777097,0.06655474027252258,0.5602175873945365,0.07203073811561594,1.4883633410110122,equal-weights
6737386c9d5608c43d6fdc2c,32.0,0.0,fast,0.15254165075488754,0.07938720868446025,0.034720850851967584,0.14250011299065968,1.206917485118339,0.5278583626486472,2.166418001713061,full
6737386c9d5608c43d6fdc2c,32.0,0.0,slow,0.283767087392897,0.08610015837062607,0.039264957430637716,0.1504888009638423,0.7318319333201562,0.33374328516915464,1.2791208777842817,equal-weights
67152706180ba43415c56801,33.0,0.0,fast,0.1837606832718112,0.04086688874227914,0.010452892446461626,0.08931894980995726,0.5203475557157551,0.13309398395794414,1.1372751546076583,equal-weights
67152706180ba43415c56801,33.0,0.0,slow,0.4430790756892757,0.1533520977330201,0.08986731062344615,0.23181855128468595,0.8816166626034619,0.5166445039892765,1.3327179773502884,equal-weights
6718da927f1110131780367d,34.0,0.0,fast,0.3428948397689455,0.17728016553417464,0.11054841827700869,0.26259436176340534,1.2712647407591602,0.7927356446153883,1.8830473912639716,full
6718da927f1110131780367d,34.0,0.0,slow,0.5573420195343792,0.2045123322521537,0.13229221842097671,0.29331515178639295,0.9778074190075524,0.6325110629001512,1.4023884445777282,full
6716f9900f376dc7f534bca1,35.0,0.0,fast,0.5045871865375284,0.16101586580014102,0.09618325785832735,0.24221145956154627,0.8322390132668865,0.49714019929046493,1.2519128168253908,equal-weights
6716f9900f376dc7f534bca1,35.0,0.0,slow,0.6574309469517248,0.23791504974724006,0.160360311236387,0.3323551862733448,1.0082420004082626,0.6795787032339345,1.4084626349207452,full
66d071ddbac5a06f6c148c20,36.0,0.0,fast,0.37914780722192803,0.17728016553417464,0.11149514673104774,0.2636481228528072,1.1640127731581893,0.7320716028723914,1.7311004967483932,full
66d071ddbac5a06f6c148c20,36.0,0.0,slow,0.6627881874640573,0.23820066186495137,0.16025752888183387,0.3329662724084509,1.003836304976221,0.6753647297947778,1.403201947296459,full
5dd1fbf683e30924729400df,37.0,0.0,fast,0.54723213161507,0.21304498928829932,0.13826062370813902,0.30291596422884154,1.0330550438841875,0.6704256935091931,1.46883935531655,full
