subject_ID,subject_index,condition,block,X,Ntrials,posterior_prob,choice_prob
63474e67a5fd298c6103c409,0.0,high_reward,2.0,1400.0,5.0,0.9522732789657962,0.8
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2012.0,1.0,0.386863179846857,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2021.0,3.0,0.5573116337622926,0.6666666666666666
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2030.0,3.0,0.7152527510491986,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2102.0,1.0,0.6131368201531431,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2111.0,7.0,0.7597469266479578,0.8571428571428571
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2120.0,9.0,0.86319311139679,0.7777777777777778
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2201.0,5.0,0.8881842302218831,0.8
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2210.0,13.0,0.9406490568972323,0.9230769230769231
63474e67a5fd298c6103c409,0.0,high_reward,2.0,2300.0,7.0,0.975496632449664,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,3011.0,1.0,0.86319311139679,0.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,3020.0,2.0,0.9264124438824265,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,3101.0,2.0,0.9406490568972324,0.5
63474e67a5fd298c6103c409,0.0,high_reward,2.0,3110.0,5.0,0.9693465699682845,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,3200.0,4.0,0.9875672647455577,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,4010.0,1.0,0.9843983377581704,1.0
63474e67a5fd298c6103c409,0.0,high_reward,2.0,4100.0,1.0,0.9937299876585661,1.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,14.0,1.0,0.006270012341433836,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,23.0,4.0,0.012432735254442401,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,32.0,7.0,0.024503367550335983,0.14285714285714285
6724c80675133c29b7257f6a,1.0,low_reward,1.0,41.0,5.0,0.047726721034203896,0.4
6724c80675133c29b7257f6a,1.0,low_reward,1.0,50.0,2.0,0.0909090909090909,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,104.0,1.0,0.015601662241829593,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,113.0,5.0,0.0306534300317155,0.0
