subject_ID,subject_index,run,window_size,X,Ntrials,posterior_prob,choice_prob
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,73.0,2.0,0.7691087468712018,1.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,77.0,1.0,0.2403610857939619,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,78.0,2.0,0.23012346394897912,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,79.0,1.0,0.07538618084916703,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,80.0,6.0,0.8931373801593101,0.3333333333333333
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,81.0,1.0,0.7461829592381619,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,82.0,3.0,0.7363384851847176,0.6666666666666666
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,83.0,1.0,0.23961288385786625,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,84.0,1.0,0.715391395690168,1.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,87.0,3.0,0.0420102496413986,0.6666666666666666
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,90.0,1.0,0.1952727944217332,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,91.0,3.0,0.03324141016425443,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,93.0,5.0,0.03090022753986998,0.4
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,94.0,3.0,0.029842219883959836,0.3333333333333333
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,95.0,13.0,0.016659932489126755,0.3076923076923077
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,96.0,5.0,0.7867356302176288,0.6
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,98.0,2.0,0.662178006410432,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,99.0,1.0,0.22636861396011743,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,100.0,1.0,0.6450987217458796,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,102.0,1.0,0.1945751669415805,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,103.0,1.0,0.03312925744279098,0.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,104.0,2.0,0.5876683432588374,1.0
5f4d296913fe2f98d46f520c,1.0,1.0,7.0,105.0,1.0,0.19392147068403767,0.0
