subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
5e8a69c836bc63718a82cb90,0.0,0.0,254.0,47.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.8993,1340.2744,1.0,0.0635,1400.0,50,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,483.0,48.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,3.8764,1342.8907,2.0,0.2422,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,437.0,49.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.8917,1348.658,2.0,0.2147,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,86.0,50.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,25.5696,1351.3911,2.0,0.2426,230.0,23,230.0
5e8a69c836bc63718a82cb90,0.0,0.0,32.0,51.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.6703,1378.9202,1.0,0.4055,311.0,32,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,594.0,52.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.5587,1381.7035,2.0,0.3087,1220.0,32,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,131.0,53.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.6271,1384.2249,1.0,0.0583,2120.0,32,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,211.0,54.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.5906,1386.5579,2.0,0.0324,2210.0,41,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,125.0,55.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,0.5819,1388.8917,1.0,0.0416,1220.0,32,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,61.0,56.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.6003,1391.2255,1.0,0.4414,1301.0,41,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,79.0,57.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,0.6089,1393.9146,1.0,0.2444,2201.0,41,2001.0
5e8a69c836bc63718a82cb90,0.0,0.0,331.0,58.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.8608,1396.4077,2.0,0.2412,32.0,5,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,579.0,59.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,0.6295,1399.1579,2.0,0.244,1130.0,23,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,282.0,60.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.6049,1401.6747,1.0,0.2765,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,217.0,61.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.6934,1404.2072,1.0,0.2258,2210.0,41,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,161.0,62.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.5666,1407.7748,1.0,0.0343,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,457.0,63.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.6175,1410.0159,1.0,0.225,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,283.0,64.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.7333,1412.5531,1.0,0.1408,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,379.0,65.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.5679,1415.1417,1.0,0.2605,1022.0,14,1002.0
5e8a69c836bc63718a82cb90,0.0,0.0,256.0,66.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.5667,1420.7917,1.0,0.1849,1400.0,50,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,501.0,67.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,0.857,1424.2413,2.0,0.2312,1121.0,23,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,442.0,68.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0938,1426.9753,2.0,0.2663,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,81.0,69.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,0.6676,1429.9752,1.0,0.0271,3101.0,41,3001.0
5e8a69c836bc63718a82cb90,0.0,0.0,14.0,70.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.7123,1432.308,2.0,0.1747,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,7.0,71.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.593,1434.9101,2.0,0.2736,1202.0,32,1002.0
5e8a69c836bc63718a82cb90,0.0,0.0,480.0,72.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.9578,1437.4252,1.0,0.3739,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,36.0,73.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,0.4595,1440.4089,2.0,0.3107,1211.0,32,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,186.0,74.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.5305,1445.6931,1.0,0.0858,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,262.0,75.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0774,1448.0042,1.0,0.2489,1400.0,50,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,12.0,76.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.7568,1452.9795,2.0,0.1992,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,67.0,77.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.8996,1455.6602,1.0,0.2258,1301.0,41,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,536.0,78.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0101,1458.4875,2.0,0.1752,140.0,14,140.0
5e8a69c836bc63718a82cb90,0.0,0.0,104.0,79.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.6081,1461.3253,1.0,0.3424,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,547.0,80.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.6744,1463.926,2.0,0.2436,140.0,14,140.0
5e8a69c836bc63718a82cb90,0.0,0.0,341.0,81.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.4416,1466.4925,2.0,0.2271,32.0,5,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,179.0,82.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.4265,1468.8092,1.0,0.0932,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,332.0,83.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.5278,1470.9759,2.0,0.2493,32.0,5,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,577.0,84.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0943,1473.3926,2.0,0.2735,1130.0,23,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,132.0,85.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.609,1478.4091,1.0,0.2812,2120.0,32,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,280.0,86.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.6086,1480.9261,1.0,0.0839,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,284.0,87.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.2585,1483.2591,1.0,0.2007,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,150.0,88.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.5104,1486.3593,1.0,0.3712,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,424.0,89.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.5181,1488.8929,2.0,0.0034,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,371.0,90.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.8103,1491.059,2.0,0.2426,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,249.0,91.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.875,1493.7594,1.0,0.2143,1400.0,50,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,451.0,92.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.4733,1496.4924,2.0,0.3331,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,71.0,93.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.4756,1498.9432,1.0,0.2245,1301.0,41,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,557.0,94.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,0.4791,1501.2929,2.0,0.3094,1040.0,14,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,449.0,95.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.9214,1508.8927,2.0,0.0848,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,314.0,96.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.4949,1511.5928,2.0,0.1716,113.0,14,3.0
5e8a69c836bc63718a82cb90,0.0,0.0,107.0,97.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.6115,1513.893,2.0,0.3749,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,208.0,98.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.1332,1516.5935,1.0,0.0975,2210.0,41,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,297.0,99.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.1697,1519.5226,1.0,0.4405,3200.0,50,3000.0
5e8a69c836bc63718a82cb90,0.0,0.0,158.0,100.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.7871,1522.7887,1.0,0.1233,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,321.0,101.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.4655,1525.3531,2.0,0.1153,1013.0,14,1003.0
5e8a69c836bc63718a82cb90,0.0,0.0,535.0,102.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.6935,1528.5769,2.0,0.1163,140.0,14,140.0
5e8a69c836bc63718a82cb90,0.0,0.0,143.0,103.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.8635,1531.0439,2.0,0.0936,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,225.0,104.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0647,1533.71,1.0,0.3102,3110.0,41,3000.0
5e8a69c836bc63718a82cb90,0.0,0.0,54.0,105.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.8928,1536.7869,1.0,0.2291,401.0,41,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,481.0,106.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.5998,1539.5432,1.0,0.4018,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,193.0,107.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.628,1542.2434,1.0,0.1921,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,402.0,108.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.1292,1544.7599,1.0,0.4338,41.0,5,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,274.0,109.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.6321,1549.0268,1.0,0.2751,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,369.0,110.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,16.9181,1552.6436,2.0,0.1988,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,6.0,111.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.5416,1571.3942,1.0,0.3671,302.0,32,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,507.0,112.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.5859,1573.9438,1.0,0.1923,311.0,32,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,511.0,113.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.7006,1576.4384,2.0,0.2749,311.0,32,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,184.0,114.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.5958,1579.1224,1.0,0.2761,1310.0,41,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,285.0,115.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.9436,1581.6443,1.0,0.275,2300.0,50,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,380.0,116.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.6489,1584.5105,1.0,0.0978,212.0,23,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,234.0,117.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.883,1586.9562,1.0,0.3021,500.0,50,500.0
5e8a69c836bc63718a82cb90,0.0,0.0,575.0,118.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.9254,1589.8533,2.0,0.2262,1130.0,23,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,198.0,119.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,0.6774,1594.6442,1.0,0.3466,2210.0,41,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,384.0,120.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0.4477,1597.3105,1.0,0.3074,212.0,23,2.0
