subject_ID,subject_index,opt_betastar,opt_loss,opt_BIC,equalweights_betastar,equalweights_loss,equalweights_BIC,ignoreweak_betastar,ignoreweak_loss,ignoreweak_BIC,fullparam_betastar,fullparam_WSratio,fullparam_loss,fullparam_BIC,best_model,best_model_betastar,best_model_loss,best_model_BIC
62e0532289a4e5d9fedadde1,52.0,2.5776996844190228,276.20154209193834,558.8000138390928,3.845901053984539,214.65764858067777,435.7122268165717,1.7269152049525127,346.5860506659029,699.569030987022,6.011741184789377,0.6500427104804823,206.46942521184428,425.7327097341209,fullparam,6.011741184789377,206.46942521184428,425.7327097341209
6728d8b6eb938d674accb5e7,53.0,0.23808625546520515,414.05285770479156,834.5026450647993,0.30335058627433636,413.29779640942263,832.9925224740614,0.15628618635251448,415.20112131110795,836.799172277432,0.47183971425110105,0.475819804074271,412.8677444114171,838.5293481332665,equalweights,0.30335058627433636,413.29779640942263,832.9925224740614
5eed3df84fcaa015f3e06637,54.0,2.5186679747644485,280.34970851743833,567.0963466900928,2.7752358441828906,276.8952062465952,560.1873421484065,2.147630018546537,318.01399314003027,642.4249159352767,3.2823972832871617,1.434739222918857,270.96536347481094,554.7245862600541,fullparam,3.2823972832871617,270.96536347481094,554.7245862600541
667ad18688c9319e6559bdc4,55.0,1.4457290223640715,357.8716917494743,722.1403131541647,1.3594652277855144,369.8660526347747,746.1290349247655,1.5226826809314873,359.83076717229017,726.0584639997965,1.392879027391992,2.8039586525942006,357.72756756579764,728.2489944420275,fully_optimal,1.4457290223640715,357.8716917494743,722.1403131541647
66b9314371ee40bb9aa1ba97,56.0,0.5945468495220547,404.71408779463707,815.8251052444903,1.0145662796646826,388.8005473893593,783.9980244339347,0.24337139742935615,414.2260887566856,834.8491071685874,2.123016303183191,0.0,372.1991851711133,757.1922296526589,fullparam,2.123016303183191,372.1991851711133,757.1922296526589
608c75be6bf5ca1f23ab35ad,57.0,3.1110937932519382,240.81229151838468,488.0215126919855,2.5807033209128662,289.5562829623464,585.509495579909,3.3312088607607264,240.62592524531962,487.64878014585537,2.681760224613215,4.135714443090409,233.98330464005167,480.76046859053565,fullparam,2.681760224613215,233.98330464005167,480.76046859053565
6505d90ba31f147052647239,58.0,4.479156661966949,169.4824889748675,345.3585687036856,3.7409117468065665,219.05851771599856,444.51062618594773,4.026716331276107,201.7670724053488,409.92773556464823,4.336364216191914,2.696433317588986,169.20248190509307,351.1921453180874,fully_optimal,4.479156661966949,169.4824889748675,345.3585687036856
66894dee33c97ad934460664,59.0,2.3676884611393545,291.12151652930936,588.6399627138348,2.844906946461327,272.4435742511582,551.2840781575326,1.9094367229342097,334.324853487228,675.0466366296721,3.615118843231523,1.0828844047661106,270.9802299417661,554.7543191939644,equalweights,2.844906946461327,272.4435742511582,551.2840781575326
66cc9b4ba07560e7df715a98,60.0,0.0,415.88830833596717,838.1735463271505,0.0,415.88830833596717,838.1735463271505,0.033686260292803034,415.85632914308013,838.1095879413764,0.0,0.1725571787370314,415.88830833596717,844.5704759823666,ignoreweak,0.033686260292803034,415.85632914308013,838.1095879413764
67056ad7faf8abddbb45f304,61.0,0.24097523715589989,414.0082576441789,834.413444943574,0.26292634807332166,413.93888411858825,834.2746978923926,0.19950043685561783,414.76979531603035,835.9365202872768,0.2948817254844671,1.4941116112714865,413.8929120580425,840.5796834265172,equalweights,0.26292634807332166,413.93888411858825,834.2746978923926
670d8b142f87173ffe3b4763,62.0,0.17592291103068153,414.884074271941,836.1650781990982,0.16615268245824294,415.10739751402906,836.6117246832742,0.17704243996059013,415.0069101203732,836.4107498959626,0.18101108941905547,2.297335343267453,414.8826621384382,842.5591835873087,fully_optimal,0.17592291103068153,414.884074271941,836.1650781990982
6631df1b998dab2051c4e690,63.0,0.0,415.88830833596717,838.1735463271505,0.0,415.88830833596717,838.1735463271505,0.01475632928852885,415.8821715439809,838.161272743178,0.0,0.20706013198336962,415.88830833596717,844.5704759823666,ignoreweak,0.01475632928852885,415.8821715439809,838.161272743178
67038a1c7497dbfeaa1581cd,64.0,0.10469349984438316,415.5320684172498,837.4610664897157,0.09974053113733018,415.60653143260515,837.6099925204264,0.12366477223117583,415.4577733934728,837.3124764421617,0.0879703437021152,27.065867891707803,415.42945781552294,843.6527749414781,ignoreweak,0.12366477223117583,415.4577733934728,837.3124764421617
65ad47397526e114408593b4,65.0,0.11555248902336589,415.4544220508445,837.3057737569052,0.1212633897186107,415.47195098506256,837.3408316253413,0.14506017213762037,415.29615544446006,836.9892405441362,0.15263817196423168,1.4083825937490737,415.3715485902827,843.5369564909977,ignoreweak,0.14506017213762037,415.29615544446006,836.9892405441362
66ff23b19b9e211878a17f7c,66.0,0.06966065888124207,415.7305118155699,837.857953286356,0.03708975122952968,415.84931877368854,838.0955672025932,0.08884232624508603,415.6659837071819,837.72889706958,0.0,0.18153734752060105,415.88830833596717,844.5704759823666,ignoreweak,0.08884232624508603,415.6659837071819,837.72889706958
616cda4e2f5f884cdd46b2eb,67.0,0.10520383918757768,415.5285896047674,837.4541088647509,0.13152644999546118,415.39858778228586,837.1941052197878,0.056848445507185166,415.7972477585512,837.9914251723185,0.1307439759539947,1.3920451655704231,415.51185205483955,843.8175634201114,equalweights,0.13152644999546118,415.39858778228586,837.1941052197878
673a8d64bf587131fa065ec5,68.0,0.0,415.19516115540716,836.7855839089298,0.0,415.19516115540716,836.7855839089298,0.07328543532083687,415.04388758860046,836.4830367753164,0.0,0.1766888304091179,415.19516115540716,843.1808455070452,ignoreweak,0.07328543532083687,415.04388758860046,836.4830367753164
