subject_ID,subject_index,exclude_Ixr,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class
5c28feff5ffcb7000128a541,50.0,0.0,0.6362292412493897,0.19030308109971328,0.1387900263573974,0.24946103667949124,0.8251580143043671,0.6017963655265977,1.0816681079635342,equal-weights
671fb466946348aad9a11d10,51.0,0.0,0.6038433734821196,0.18843626449440717,0.1377786470738831,0.2475955327594023,0.8483887932776012,0.6203150993470341,1.1147391178777515,equal-weights
62e0532289a4e5d9fedadde1,52.0,0.0,0.5309212159438961,0.14414297178594515,0.09907399777640419,0.19774567841262145,0.7155925879274613,0.4918492909277557,0.981701292914213,equal-weights
6728d8b6eb938d674accb5e7,53.0,1.0,0.029274234825347384,0.004066795949676122,-0.0006308640002626053,0.018281829487662056,0.31274173129720934,-0.04851423629231336,1.4058957164317878,equal-weights
5eed3df84fcaa015f3e06637,54.0,0.0,0.39759018127500545,0.13218527671175684,0.089185551712107,0.1828563287748771,0.8330423321993259,0.5620545785802271,1.152375411008857,equal-weights
667ad18688c9319e6559bdc4,55.0,0.0,0.14597915520786137,0.055386121950779306,0.02876343901687766,0.09204949651605418,0.8784630712823136,0.45620848850661144,1.459970125573051,equal-weights
66b9314371ee40bb9aa1ba97,56.0,0.0,0.1411534764057802,0.0048310798983657996,-0.0006631961138770641,0.02009708293994847,0.07914234557510585,-0.010864423096434508,0.32922872660892893,none
608c75be6bf5ca1f23ab35ad,57.0,0.0,0.43672913994456586,0.17920801614636103,0.12942460862820054,0.2382029148811101,1.0428122561489563,0.7531223827317062,1.3861038386003708,full
6505d90ba31f147052647239,58.0,0.0,0.5943412209016676,0.2166873959611579,0.16077406215513787,0.2791035010511627,0.98704955392514,0.7323543929680513,1.2713659924219936,full
66894dee33c97ad934460664,59.0,0.0,0.4281570144148645,0.15592798882550332,0.10996346133202675,0.20955691090267378,0.9225869651480331,0.6506263361160887,1.2398959026647376,equal-weights
66cc9b4ba07560e7df715a98,60.0,1.0,-0.02246475956231032,0.0002756995545844967,-0.0010663072697888482,0.007335402172146856,-31014565894.092064,119953248136.56883,-825189269422.5916,equal-weights
67056ad7faf8abddbb45f304,61.0,1.0,-0.029948501927387645,-0.00217547305456957,-0.0021962773957378704,0.0039783415008922286,244727825198.90134,247068190278.63406,-447539840296.72235,full
670d8b142f87173ffe3b4763,62.0,1.0,-0.017869551932535383,0.002568174401085928,-0.0010565328410024018,0.014960678802825316,-288904399247.36426,118853682828.48836,-1682987697422.5042,equal-weights
6631df1b998dab2051c4e690,63.0,1.0,-0.008552670054379314,-0.00023181271910294746,-0.0012145592375822946,0.0062544387045173275,26077557007.817184,136630715864.03107,-703587285892.2651,full
67038a1c7497dbfeaa1581cd,64.0,1.0,-0.011108239983495118,-0.0006246226153037545,-0.0016559865304177415,0.00829819158629209,70266342252.43602,186288670087.89148,-933497372321.5752,full
65ad47397526e114408593b4,65.0,1.0,0.0033037781759110707,0.002486144840274517,-0.000811231137525566,0.014068993713010802,1.6794547385661929,-0.5480074836827757,9.503966854789105,full
66ff23b19b9e211878a17f7c,66.0,1.0,-0.01002933403083507,-0.0008972089239988866,-0.0013197558756625812,0.00435452640714281,100930686435.34059,148464714176.05252,-489858412703.758,full
616cda4e2f5f884cdd46b2eb,67.0,1.0,-0.010682603380859931,0.0015537814208221685,-0.0009019505016513456,0.011630023809172274,-174791201000.42038,101464085819.19441,-1308308750527.5068,equal-weights
673a8d64bf587131fa065ec5,68.0,1.0,-0.020160849669120864,0.0011072760543251376,-0.001051466171047125,0.010826715008234181,-124561993586.0004,118283712487.30165,-1217941271415.8828,equal-weights
