trial_ID,observation_encoding,latent_state
171.0,32.0,2.0
172.0,32.0,2.0
173.0,32.0,2.0
174.0,122.0,2.0
175.0,122.0,2.0
176.0,122.0,2.0
177.0,122.0,2.0
178.0,122.0,2.0
179.0,122.0,2.0
180.0,122.0,2.0
181.0,122.0,2.0
182.0,122.0,2.0
183.0,122.0,2.0
184.0,122.0,2.0
185.0,122.0,2.0
186.0,1022.0,2.0
187.0,1022.0,2.0
188.0,1022.0,2.0
189.0,1022.0,2.0
190.0,212.0,2.0
191.0,212.0,2.0
192.0,212.0,2.0
193.0,212.0,2.0
194.0,212.0,2.0
195.0,212.0,2.0
196.0,212.0,2.0
197.0,212.0,2.0
198.0,1112.0,2.0
199.0,1112.0,2.0
200.0,1112.0,2.0
201.0,1112.0,2.0
202.0,1112.0,2.0
203.0,2012.0,2.0
204.0,302.0,2.0
205.0,302.0,2.0
206.0,1202.0,2.0
207.0,1202.0,2.0
208.0,41.0,2.0
209.0,41.0,2.0
210.0,41.0,2.0
211.0,41.0,2.0
212.0,41.0,2.0
213.0,131.0,2.0
214.0,131.0,2.0
215.0,131.0,2.0
216.0,131.0,2.0
217.0,131.0,2.0
218.0,131.0,2.0
219.0,131.0,2.0
220.0,131.0,2.0
221.0,131.0,2.0
222.0,131.0,2.0
223.0,131.0,2.0
224.0,131.0,2.0
225.0,131.0,2.0
226.0,1031.0,2.0
227.0,1031.0,2.0
228.0,1031.0,2.0
229.0,1031.0,2.0
230.0,221.0,2.0
231.0,221.0,2.0
232.0,221.0,2.0
233.0,221.0,2.0
234.0,221.0,2.0
235.0,221.0,2.0
236.0,221.0,2.0
237.0,221.0,2.0
238.0,221.0,2.0
239.0,221.0,2.0
240.0,221.0,2.0
241.0,221.0,2.0
242.0,221.0,2.0
243.0,1121.0,2.0
244.0,1121.0,2.0
245.0,1121.0,2.0
246.0,1121.0,2.0
247.0,1121.0,2.0
248.0,1121.0,2.0
249.0,1121.0,2.0
250.0,1121.0,2.0
251.0,2021.0,2.0
252.0,311.0,2.0
253.0,311.0,2.0
254.0,311.0,2.0
255.0,311.0,2.0
256.0,311.0,2.0
257.0,1211.0,2.0
258.0,1211.0,2.0
259.0,1211.0,2.0
260.0,1211.0,2.0
261.0,1211.0,2.0
262.0,2111.0,2.0
263.0,2111.0,2.0
264.0,401.0,2.0
265.0,1301.0,2.0
266.0,2201.0,2.0
267.0,50.0,2.0
268.0,50.0,2.0
269.0,140.0,2.0
270.0,140.0,2.0
271.0,140.0,2.0
272.0,140.0,2.0
273.0,140.0,2.0
274.0,1040.0,2.0
275.0,1040.0,2.0
276.0,230.0,2.0
277.0,230.0,2.0
278.0,230.0,2.0
279.0,230.0,2.0
280.0,230.0,2.0
281.0,230.0,2.0
282.0,230.0,2.0
283.0,1130.0,2.0
284.0,1130.0,2.0
285.0,1130.0,2.0
286.0,1130.0,2.0
287.0,2030.0,2.0
288.0,320.0,2.0
289.0,320.0,2.0
290.0,320.0,2.0
291.0,320.0,2.0
292.0,1220.0,2.0
293.0,1220.0,2.0
294.0,1220.0,2.0
295.0,1220.0,2.0
