subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
67047fbe4a73fb7c0e482271,30.0,0.0,403.0,12.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.6658,1917.8444,2.0,0.1672,212.0,23,2.0
67047fbe4a73fb7c0e482271,30.0,0.0,294.0,13.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,0.5144,1920.3981,1.0,0.4192,3200.0,50,3000.0
67047fbe4a73fb7c0e482271,30.0,0.0,409.0,14.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.1887,1922.9912,2.0,0.3471,212.0,23,2.0
67047fbe4a73fb7c0e482271,30.0,0.0,247.0,15.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,0.5116,1927.1899,1.0,0.2411,3110.0,41,3000.0
67047fbe4a73fb7c0e482271,30.0,0.0,517.0,16.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.5881,1929.6114,2.0,0.0015,311.0,32,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,472.0,17.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.6877,1931.8841,2.0,0.2331,131.0,14,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,464.0,18.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.5547,1934.4921,2.0,0.2425,131.0,14,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,477.0,19.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0.8953,1936.9473,2.0,0.3672,221.0,23,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,53.0,20.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.334,1939.8805,1.0,0.3657,1130.0,23,1000.0
67047fbe4a73fb7c0e482271,30.0,0.0,522.0,21.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.6618,1945.2311,2.0,0.3993,311.0,32,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,492.0,22.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0.5155,1947.961,2.0,0.2997,221.0,23,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,562.0,23.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.5783,1950.4304,2.0,0.2784,230.0,23,230.0
67047fbe4a73fb7c0e482271,30.0,0.0,227.0,24.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,0.6351,1952.9101,1.0,0.0013,2210.0,41,2000.0
67047fbe4a73fb7c0e482271,30.0,0.0,597.0,25.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.6962,1958.4866,1.0,0.0008,410.0,41,410.0
67047fbe4a73fb7c0e482271,30.0,0.0,462.0,26.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.7081,1960.9305,2.0,0.2055,131.0,14,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,318.0,27.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.6863,1963.6174,2.0,0.2523,113.0,14,3.0
67047fbe4a73fb7c0e482271,30.0,0.0,111.0,28.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,0.8104,1970.8694,1.0,0.1026,1220.0,32,1000.0
67047fbe4a73fb7c0e482271,30.0,0.0,122.0,29.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,0.9838,1976.3995,1.0,0.1726,1220.0,32,1000.0
67047fbe4a73fb7c0e482271,30.0,0.0,14.0,30.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,2.9934,1979.3024,2.0,0.3998,1211.0,32,1001.0
67047fbe4a73fb7c0e482271,30.0,0.0,375.0,31.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.7067,1984.4363,2.0,0.241,122.0,14,2.0
